,"""Angola""","""Bolivia"""
"""90""",1200000,1500000
"""91""",1200000,1620000
"""92""",1800000,1650000
"""93""",2100000,1710000
"""94""",1200000,1770000
"""95""",1500000,1830000
"""96""",600000,1890000
"""97""",1200000,1950000
"""98""",2400000,1980000
"""99""",1800000,2040000
"""01""",1200000,2100000
"""02""",1200000,2190000
"""03""",1200000,2250000
"""04""",1200000,2310000
"""05""",900000,2700000
"""06""",900000,2460000
"""07""",900000,2520000
"""08""",1800000,2610000
"""09""",1800000,2700000
"""10""",1800000,2760000
"""11""",1800000,2850000
"""12""",1800000,2940000
"""13""",1800000,3030000
"""14""",1800000,3120000
"""15""",1800000,3210000
"""16""",1800000,3300000
"""17""",1800000,3420000
"""18""",1800000,3510000
"""19""",1800000,3600000
"""20""",1800000,3660000
"""21""",1800000,3660000
